iter	Passed	Remaining
0	159	159447
1	168	84300
2	178	59368
3	187	46667
4	195	39002
5	204	33872
6	212	30139
7	222	27578
8	231	25505
9	240	23810
10	248	22372
11	256	21157
12	265	20129
13	273	19250
14	282	18568
15	291	17929
16	299	17324
17	307	16778
18	315	16284
19	323	15855
20	331	15456
21	339	15091
22	347	14758
23	355	14463
24	363	14185
25	371	13927
26	379	13686
27	389	13534
28	402	13480
29	412	13336
30	420	13149
31	428	12965
32	437	12817
33	446	12677
34	456	12590
35	465	12472
36	475	12377
37	488	12360
38	499	12317
39	510	12244
40	519	12160
41	530	12105
42	543	12090
43	553	12032
44	564	11974
45	574	11923
46	584	11846
47	594	11787
48	604	11727
49	615	11698
50	628	11695
51	641	11701
52	655	11713
53	666	11675
54	678	11653
55	690	11634
56	699	11564
57	707	11495
58	716	11420
59	724	11344
60	731	11267
61	740	11195
62	747	11123
63	756	11058
64	764	10991
65	774	10959
66	785	10933
67	793	10880
68	802	10827
69	811	10775
70	819	10723
71	827	10668
72	835	10615
73	844	10563
74	852	10511
75	860	10463
76	868	10413
77	877	10369
78	885	10318
79	895	10295
80	906	10287
81	916	10261
82	925	10222
83	933	10182
84	942	10142
85	952	10121
86	967	10156
87	976	10116
88	984	10075
89	993	10042
90	1002	10018
91	1014	10013
92	1025	9998
93	1035	9979
94	1047	9980
95	1057	9954
96	1065	9918
97	1073	9883
98	1083	9859
99	1091	9827
100	1100	9792
101	1108	9761
102	1116	9725
103	1124	9690
104	1132	9655
105	1141	9625
106	1149	9591
107	1157	9557
108	1165	9530
109	1174	9502
110	1182	9469
111	1190	9442
112	1200	9421
113	1208	9393
114	1219	9381
115	1231	9383
116	1242	9373
117	1251	9357
118	1262	9347
119	1272	9331
120	1282	9318
121	1292	9304
122	1303	9295
123	1313	9277
124	1323	9265
125	1334	9257
126	1343	9233
127	1353	9221
128	1363	9208
129	1375	9205
130	1384	9182
131	1393	9161
132	1401	9137
133	1409	9109
134	1417	9085
135	1427	9071
136	1435	9045
137	1444	9020
138	1451	8993
139	1460	8968
140	1469	8950
141	1481	8951
142	1495	8962
143	1508	8965
144	1522	8975
145	1533	8967
146	1546	8973
147	1557	8966
148	1567	8949
149	1579	8949
150	1588	8928
151	1596	8908
152	1605	8887
153	1613	8864
154	1621	8840
155	1631	8827
156	1639	8805
157	1648	8782
158	1656	8761
159	1664	8739
160	1672	8716
161	1680	8695
162	1689	8673
163	1697	8651
164	1705	8629
165	1713	8608
166	1721	8587
167	1730	8567
168	1738	8547
169	1746	8525
170	1754	8505
171	1762	8485
172	1771	8468
173	1783	8464
174	1796	8467
175	1809	8473
176	1826	8492
177	1838	8490
178	1852	8498
179	1867	8507
180	1882	8516
181	1898	8532
182	1910	8528
183	1929	8558
184	1941	8551
185	1953	8549
186	1965	8547
187	1978	8545
188	1991	8546
189	2001	8534
190	2009	8512
191	2017	8492
192	2025	8470
193	2034	8451
194	2041	8429
195	2049	8407
196	2059	8396
197	2067	8372
198	2074	8349
199	2082	8329
200	2090	8309
201	2098	8288
202	2107	8272
203	2115	8254
204	2123	8234
205	2131	8214
206	2139	8194
207	2146	8174
208	2154	8154
209	2163	8140
210	2175	8133
211	2188	8134
212	2204	8143
213	2218	8149
214	2232	8152
215	2245	8150
216	2260	8155
217	2271	8149
218	2286	8153
219	2301	8159
220	2312	8149
221	2320	8131
222	2328	8114
223	2337	8097
224	2346	8080
225	2353	8061
226	2361	8041
227	2369	8023
228	2378	8008
229	2386	7989
230	2394	7970
231	2402	7953
232	2410	7934
233	2418	7918
234	2426	7899
235	2437	7892
236	2448	7881
237	2457	7867
238	2465	7850
239	2473	7833
240	2482	7816
241	2490	7801
242	2499	7785
243	2507	7770
244	2517	7756
245	2525	7741
246	2535	7730
247	2549	7730
248	2565	7736
249	2578	7736
